id,scientific_name,best_identity,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,rank,count,Sard_69_EtOH,Sard_69_Si,Sard_70_EtOH,Sard_70_Si,Sard_71_EtOH,Sard_71_Si,Sard_72_EtOH,Sard_72_Si,Sard_73_EtOH,Sard_73_Si,Sard_74_EtOH,Sard_74_Si,Sard_75_EtOH,Sard_75_Si,Sard_77_EtOH,Sard_77_Si,Sard_80_EtOH,Sard_80_Si,Sard_84_EtOH,Sard_84_Si,Adr_110_EtOH,Adr_110_Si,Adr_115_EtOH,Adr_115_Si,Adr_118_EtOH,Adr_118_Si,Adr_87_EtOH,Adr_87_Si,Adr_89_EtOH,Adr_89_Si,Tyrr_48_EtOH,Tyrr_48_Si,Tyrr_59_EtOH,Tyrr_59_Si,Tyrr_71_EtOH,Tyrr_71_Si,Tyrr_83_EtOH,Tyrr_83_Si,Tyrr_87_EtOH,Tyrr_87_Si,Tyrr_10_EtOH,Tyrr_10_Si
OTU_25,Diaphus rafinesquii,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Diaphus,Diaphus rafinesquii,species,1426,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
OTU_26,Dipturus oxyrinchus,1,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Dipturus,Dipturus oxyrinchus,species,9,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_27,Echiodon,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Ophidiiformes,Carapidae,Echiodon,NA,genus,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_28,Engraulis encrasicolus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,species,36396,5,0,3,0,0,1,1,1,37,13,2,1,0,3,0,1,0,0,0,0,255,4644,10729,4664,3734,5217,139,421,67,2,556,399,0,0,1,0,0,2,538,118,2,0
OTU_29,Epigonus denticulatus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Pempheriformes,Epigonidae,Epigonus,Epigonus denticulatus,species,321,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74,57,6,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,123,5,1,4,0,0,0,0
OTU_30,Etmopterus spinax,0.994413408,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Etmopterus,Etmopterus spinax,species,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
OTU_31,Facciolella oxyrhyncha,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Anguilliformes,Nettastomatidae,Facciolella,Facciolella oxyrhyncha,species,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,1050
OTU_32,Gadiculus argenteus,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadiculus,Gadiculus argenteus,species,9780,3,2,2,1,3,3,1,4,5,52,2,6,410,179,18,34,92,1301,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,62,25,353,817,13,1,0,0
OTU_33,Galeus melastomus,1,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Galeus,Galeus melastomus,species,134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU_34,Glossanodon,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Glossanodon,NA,genus,37062,7,3,7,109,16,9,7,9,4,96,5144,3047,3930,23067,656,74,2,27,147,387,0,0,3,0,3,0,0,0,0,0,3,0,1,3,253,23,0,0,0,0,4,1
OTU_35,Gnathophis,0.987951807,Opisthokonta,Metazoa,Chordata,Actinopterygii,Anguilliformes,Congridae,Gnathophis,NA,genus,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_36,Gobius niger,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Gobius,Gobius niger,species,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_37,Gymnammodytes,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Uranoscopiformes,Ammodytidae,Gymnammodytes,NA,genus,72844,55793,6805,138,377,87,20,135,76,7048,2174,43,101,4,19,0,2,0,2,1,0,0,0,0,1,0,1,1,0,2,0,2,1,1,0,0,1,0,0,0,0,1,1
OTU_38,Helicolenus dactylopterus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Helicolenus,Helicolenus dactylopterus,species,2151,3,0,0,0,0,0,0,2,0,0,0,0,248,765,2,5,0,7,28,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,453,269,11,216,0,0,2,3
OTU_39,Hoplostethus mediterraneus,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Trachichthyiformes,Trachichthyidae,Hoplostethus,Hoplostethus mediterraneus,species,3565,2,0,1,1,1,0,0,1,0,2,0,1,0,1,0,5,4,8,51,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,32,0,0,0,0,1553,1445
OTU_40,Hygophum benoiti,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Hygophum,Hygophum benoiti,species,2215,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,117,0,0,0,0,319,1542
OTU_41,Hygophum hygomii,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Hygophum,Hygophum hygomii,species,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24
OTU_42,Hymenocephalus italicus,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Macrouridae,Hymenocephalus,Hymenocephalus italicus,species,11329,3,1,0,14,1,1,0,3,4,1,1,3,0,0,0,0,483,3308,69,237,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2310,416,6,9,0,0,1103,2066
OTU_43,Lampanyctus crocodilus,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Lampanyctus,Lampanyctus crocodilus,species,11393,1,0,0,0,0,0,0,1,2,0,0,0,1,4,0,0,258,3259,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,15,376,29,0,0,0,0,2194,3529
OTU_44,Lepidion lepidion,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Moridae,Lepidion,Lepidion lepidion,species,19327,3,1,10,3,5,3,0,4,3,0,5,4,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,2,2,0,0,1
OTU_45,Lepidopus caudatus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Scombriformes,Trichiuridae,Lepidopus,Lepidopus caudatus,species,378,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,14,3,4,0,0,0,0
OTU_46,Lepidorhombus whiffiagonis,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus,Lepidorhombus whiffiagonis,species,7394,4,1,9,1,1106,55,2,150,163,1,11,1,107,137,702,604,32,165,162,326,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1164,554,675,554,0,0,1,0
OTU_47,Lepidotrigla,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Triglidae,Lepidotrigla,NA,genus,315821,400,165,134,42,80,46,1103,10891,3675,6597,23503,49769,47579,155719,3681,6166,230,2993,96,199,6,6,6,9,1,1,10,11,39,35,16,3,960,1222,11,12,3,7,7,3,7,7
OTU_48,Lesueurigobius friesii,0.993902439,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Lesueurigobius,Lesueurigobius friesii,species,56,0,0,0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0
OTU_49,Lophius budegassa,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,Lophius budegassa,species,285,0,0,0,2,1,0,0,0,0,1,36,37,2,0,18,33,2,3,3,1,0,0,0,0,0,0,1,5,2,1,0,0,0,0,0,0,1,1,0,0,0,0
OTU_50,Macroramphosus scolopax,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Syngnathiformes,Centriscidae,Macroramphosus,Macroramphosus scolopax,species,4218,2,3,1,1,310,73,4,42,14,19,540,51,14,17,5,8,6,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,8,0,0,0,1,0,0,0,0
OTU_51,Maurolicus muelleri,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,Maurolicus,Maurolicus muelleri,species,908,0,1,1,0,0,0,0,0,0,1,1,43,28,251,289,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,33,0,0,0,0
OTU_52,Merlangius merlangus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Merlangius,Merlangius merlangus,species,1729,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51,0,727,740,23,147,0,3,18,17,0,0,0,0,0,0,0,0,0,0,0,0
OTU_53,Merluccius merluccius,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius merluccius,species,387691,271,35,144,595,38829,41933,4329,35844,32693,31469,14675,84564,9294,21002,7376,3583,292,2464,14,25,4,493,6,10,13,24,83,93,6784,1280,1569,893,6502,6819,1491,461,2305,5774,2261,680,10,14
OTU_54,Micromesistius poutassou,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,species,3077,0,0,1,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,830,231,2,0,0,1
OTU_55,Molva dypterygia,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Molva,Molva dypterygia,species,518,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,18,0,0,0,0
OTU_56,Mullus barbatus,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Mullidae,Mullus,Mullus barbatus,species,30155,320,10,26407,1081,32,131,13,290,100,40,617,15,7,13,4,1,1,7,1,2,0,3,35,268,4,7,34,240,0,3,146,53,14,1,3,1,0,0,20,8,1,1
OTU_57,Mullus surmuletus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Mullidae,Mullus,Mullus surmuletus,species,68693,8467,215,2446,354,17,35,1087,2201,43195,10338,83,17,3,13,7,3,1,5,1,1,1,0,4,32,0,3,3,27,1,1,31,4,10,1,1,1,1,1,2,1,1,0
OTU_58,Nemichthys scolopaceus,0.993975904,Opisthokonta,Metazoa,Chordata,Actinopterygii,Anguilliformes,Nemichthyidae,Nemichthys,Nemichthys scolopaceus,species,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4
OTU_59,Nettastoma melanurum,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Anguilliformes,Nettastomatidae,Nettastoma,Nettastoma melanurum,species,6319,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,1,110,214,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,57,18,0,0,0,0,12,14
